レコード番号,顧客,客先納期,客先納期備考,納品書日付,担当,客先注番,図番部品ｺｰﾄﾞ,材質,品名寸法,有無,寸法1,記号1,寸法2,記号2,寸法3,記号3,寸法4,記号4,数量,単位,売値,販売金額,仕入先,区分,仕入単価,仕入金額,発注納期,発注納期備考,注番,仕入日,利率,締日,発注備考,その他備考,ID,注文書発行日,請求書用顧客名,請求書用仮名,買掛用仕入先名,ﾚｺｰﾄﾞ番号ID,納品書ﾁｪｯｸ日,納品書ﾁｪｯｸ用顧客名,納品書ﾁｪｯｸ用納品書日付,納品書ﾁｪｯｸ用注番,納品書ﾁｪｯｸ用図番材質品名寸法等,納品書ﾁｪｯｸ用数量,納品書ﾁｪｯｸ用売値,納品書ﾁｪｯｸ用販売金額,納品書識別,管理レベル,,,,,,,,,,,,,,,,,,,,,,,,,,
S0003912,有限会社森組,25/3/3,,25/3/25,S 須賀,MM24157,MM24157-151-01-0S,MC,ﾜｰｸ受け,,,,,,,,,,1 ,,"22,500.00 ","22,500 ",有限会社美工ライト工芸,1買掛,"17,000.00 ","17,000 ",25/3/3,,S25173,25/3/3,24%,末,,,S,2/27/2025,有限会社森組,もりぐみ,有限会社美工ライト工芸,,納入済,,,,,,2025-10-03,,45741.7797800926-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0010393,株式会社JPC,25/3/3,,65/10/18,S 須賀,J250043-01,ZZ250007-A103,T/#1995,ﾊﾟｯｷﾝ,,,,,,,,,,2 ,,550.00 ,"1,100 ",株式会社アキツ,1買掛,400.00 ,800 ,25/2/26,,SN25376,25/3/3,27%,末,納品書日付を3月付にてお願いできないでしょうか。,,S,2/13/2025,株式会社JPC,じぇいぴーしー,株式会社アキツ,,納入済,,,,,,2025-10-03,,45923.7341666667-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0010394,株式会社JPC,25/3/3,,65/10/18,S 須賀,J250043-01,ZZ250007-A105,T/#1995,ﾊﾟｯｷﾝ,,,,,,,,,,2 ,,550.00 ,"1,100 ",株式会社アキツ,1買掛,400.00 ,800 ,25/2/26,,SN25376,25/3/3,27%,末,,,S,2/13/2025,株式会社JPC,じぇいぴーしー,株式会社アキツ,,納入済,,,,,,2025-10-03,,45923.7342361111-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0010395,株式会社JPC,25/3/3,,65/10/18,S 須賀,J250043-01,ZZ250007-A110,POM,ﾚｰﾙ,,,,,,,,,,2 ,,"3,500.00 ","7,000 ",有限会社美工ライト工芸,1買掛,"2,700.00 ","5,400 ",,,,65/10/18,23%,末,見積時と形状が異なるものがあります。正式価格を教えて下さい。納品書日付を3月付にてお願いできないでしょうか。,,S,2/13/2025,株式会社JPC,じぇいぴーしー,有限会社美工ライト工芸,,納入済,,,,,,2025-10-03,,45923.7342361111-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0010396,株式会社JPC,25/3/3,,65/10/18,S 須賀,J250043-01,ZZ250007-A112,POM,ｶﾞｲﾄﾞ,,,,,,,,,,1 ,,"4,300.00 ","4,300 ",有限会社美工ライト工芸,1買掛,"3,300.00 ","3,300 ",25/2/26,,SN25377,25/2/26,23%,末,,,S,2/13/2025,株式会社JPC,じぇいぴーしー,有限会社美工ライト工芸,,納入済,,,,,,2025-10-03,,45923.7342361111-3,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0010397,株式会社JPC,25/3/3,,65/10/18,S 須賀,J250043-01,ZZ250007-A113,POM,ｶﾞｲﾄﾞ,,,,,,,,,,1 ,,"2,600.00 ","2,600 ",有限会社美工ライト工芸,1買掛,"2,000.00 ","2,000 ",25/2/26,,SN25377,25/2/26,23%,末,,,S,2/13/2025,株式会社JPC,じぇいぴーしー,有限会社美工ライト工芸,,納入済,,,,,,2025-10-03,,45923.7342361111-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0010398,株式会社JPC,25/3/3,,65/10/18,S 須賀,J250043-01,ZZ250007-A116,POM,ｽﾄｯﾊﾟ,,,,,,,,,,1 ,,"1,800.00 ","1,800 ",有限会社美工ライト工芸,1買掛,"1,400.00 ","1,400 ",25/2/26,,SN25377,25/2/26,22%,末,,,S,2/13/2025,株式会社JPC,じぇいぴーしー,有限会社美工ライト工芸,,納入済,,,,,,2025-10-03,,45923.7342361111-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0004107,株式会社JPC,25/3/3,,65/10/18,S 須賀,J250043-01,ZZ250007-A110,POM,ﾚｰﾙ,,,,,,,,,,1 ,,,0 ,有限会社美工ライト工芸,1買掛,"2,700.00 ","2,700 ",25/2/26,,SN25377,25/2/26,,末,,,S,2/13/2025,株式会社JPC,じぇいぴーしー,有限会社美工ライト工芸,,納入済,,,,,,2025-10-03,,45923.7342361111-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0000005,株式会社JPC,25/3/3,,25/3/25,S 須賀,H250300961-04,J250043-01,,,,,,,,,,,,1 ,,"17,900.00 ","17,900 ",,該当なし,,計算不可,,,,65/10/18,,末,,,S,2/27/2025,株式会社JPC,じぇいぴーしー,該当なし,,,,,,,,2025-10-03,,45923.7354282407-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0003771,株式会社アマダサンコウ,25/3/3,,25/3/3,S 須賀,2802140576,,C-4205粘着付,5X5X1000,,,,,,,,,,"1,000 ",,36.00 ,"36,000 ",丸五産業株式会社,1買掛,24.00 ,"24,000 ",25/2/26,,S25138,25/3/3,33%,末,※送り用でお願い致します。旧単価@20/単価教えて下さい,,S,2/17/2025,株式会社アマダサンコウ,あまださんこう,丸五産業株式会社,,,,,,,,2025-10-03,,45923.7349768519-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
